Wall time,Step,Value
1739716778.7690108,2,15.51565170288086
1739716778.7893348,4,10.060949325561523
1739716778.7913496,4,9.05573558807373
1739716778.7994123,5,9.004055976867676
1739716778.8089652,7,7.656408786773682
1739716778.8109803,7,7.580122947692871
1739716778.8235583,9,7.126054763793945
1739716778.8690379,14,6.233417987823486
1739716778.871037,14,6.3280792236328125
1739716778.8772583,15,5.921138763427734
1739716778.8873708,16,6.063385009765625
1739716778.916425,20,5.34563684463501
1739716778.9194226,21,5.596889019012451
1739716778.9320147,23,5.318666934967041
1739716778.9360893,23,4.6375250816345215
1739716778.940089,24,5.200016021728516
1739716778.9441102,24,4.455050945281982
1739716778.965386,27,5.233992099761963
1739716778.966387,27,5.0745649337768555
1739716778.9713864,28,4.697953224182129
1739716778.9850936,30,4.729942798614502
1739716778.9900942,30,4.516754150390625
1739716779.0034847,32,4.54516077041626
1739716779.0403059,37,4.033740043640137
1739716779.0403059,37,4.3227739334106445
1739716779.0530832,39,3.998544931411743
1739716779.0550883,39,4.304026126861572
1739716779.0642192,40,4.200247764587402
1739716779.066219,40,4.528936862945557
1739716779.066219,41,4.300126075744629
1739716779.0733805,41,4.365768909454346
1739716779.0850987,43,4.238654136657715
1739716779.1006067,45,4.0361409187316895
1739716779.1143818,47,3.9665000438690186
1739716779.1299236,49,3.458462953567505
1739716779.1419818,50,3.611994981765747
1739716779.1471,51,3.781301975250244
1739716779.1481001,51,3.682574987411499
1739716779.1713457,54,3.768794059753418
1739716779.1809452,55,3.8590939044952393
1739716779.1879973,56,3.3324379920959473
1739716779.1890054,56,3.49355411529541
1739716779.189998,56,3.8424339294433594
1739716779.1933413,56,3.645925998687744
1739716779.1943424,57,3.5339620113372803
1739716779.202896,58,3.6962850093841553
1739716779.2109861,58,3.303215980529785
1739716779.2501001,62,3.7560160160064697
1739716779.257922,63,3.4277830123901367
1739716779.2690864,64,3.128506898880005
1739716779.285201,65,3.3027920722961426
1739716779.2882073,66,3.393533945083618
1739716779.2943938,67,3.4723989963531494
1739716779.2979093,67,3.08320689201355
1739716779.2989087,67,3.381113052368164
1739716779.307931,68,3.129595994949341
1739716779.3094416,68,3.470211982727051
1739716779.3119485,69,3.058933973312378
1739716779.312955,69,3.2571539878845215
1739716779.316956,69,3.1565020084381104
1739716779.3199568,70,3.1755900382995605
1739716779.3240886,70,3.4811010360717773
1739716779.325108,70,3.5114529132843018
1739716779.343627,72,3.3842809200286865
1739716779.349141,73,3.226641893386841
1739716779.378307,75,3.542578935623169
1739716779.3913581,77,3.195017099380493
1739716779.421995,79,3.266077995300293
1739716779.4250166,79,3.3095669746398926
1739716779.436074,80,3.6290640830993652
1739716779.4642453,82,3.4154000282287598
1739716779.465803,82,3.2928359508514404
1739716779.4779527,84,3.036911964416504
1739716779.484118,84,3.352437973022461
1739716779.484118,84,3.1016581058502197
1739716779.4881172,85,3.0836501121520996
1739716779.4891164,85,3.2995309829711914
1739716779.4921165,85,3.25833797454834
1739716779.502272,87,2.791811943054199
1739716779.5043502,87,2.7408440113067627
1739716779.5098598,88,3.2034080028533936
1739716779.5437422,92,2.8587329387664795
1739716779.5452518,92,2.887967109680176
1739716779.5492594,93,2.809990882873535
1739716779.5533442,94,2.8793160915374756
1739716779.5573454,94,2.7570669651031494
1739716779.5634904,95,2.7498180866241455
1739716779.567001,95,2.8650898933410645
1739716779.5700004,96,2.8745479583740234
1739716779.5780377,97,2.766479015350342
1739716779.6053343,100,2.98893404006958
1739716779.607845,101,2.6398279666900635
1739716779.608878,101,2.465574026107788
1739716779.6189444,102,3.2122890949249268
1739716779.6270504,103,2.802198886871338
1739716779.6371403,105,2.7074129581451416
1739716779.6652873,108,2.689868927001953
1739716779.6738071,109,2.4606831073760986
1739716779.6773205,109,2.573317050933838
1739716779.690028,111,2.992643117904663
1739716779.6960702,112,2.6524128913879395
1739716779.7000566,112,2.6350669860839844
1739716779.7161186,114,2.421916961669922
1739716779.7181196,114,2.7173640727996826
1739716779.7251408,115,2.36759090423584
1739716779.7271492,115,2.751805067062378
1739716779.7291489,116,2.7189600467681885
1739716779.7301478,116,2.5944089889526367
1739716779.7637467,120,2.398024082183838
1739716779.76726,120,2.594491958618164
1739716779.76726,121,2.6414730548858643
1739716779.7782795,122,2.570107936859131
1739716779.785202,124,2.454754114151001
1739716779.7902129,124,2.5817809104919434
1739716779.8048968,127,2.2496678829193115
1739716779.8109252,128,2.3558599948883057
1739716779.8149765,129,2.5602779388427734
1739716779.8179762,129,2.512324094772339
1739716779.8341818,132,2.396667957305908
1739716779.8361814,132,2.549220085144043
1739716779.8502839,134,2.3661229610443115
1739716779.860054,136,2.551938056945801
1739716779.860054,136,2.6528210639953613
1739716779.869174,137,2.2468700408935547
1739716779.8711739,137,2.44930100440979
1739716779.8799496,139,2.1354498863220215
1739716779.8799496,139,2.2343199253082275
1739716779.8973,142,2.3392560482025146
1739716779.8993006,142,2.2286438941955566
1739716779.903328,143,2.4731359481811523
1739716779.9148588,144,2.342740058898926
1739716779.921863,146,2.2423269748687744
1739716779.9280722,146,2.734173059463501
1739716779.930071,147,2.351284980773926
1739716779.93107,147,2.4582669734954834
1739716779.9320714,147,2.39227294921875
1739716779.9341347,147,2.2198638916015625
1739716779.9381335,148,2.502998113632202
1739716779.943641,149,2.169532060623169
1739716779.951151,150,2.398660898208618
1739716779.9521499,150,2.0305709838867188
1739716779.954249,150,2.596745014190674
1739716779.9562502,151,2.234096050262451
1739716779.95825,151,2.1876060962677
1739716779.95825,151,2.2232890129089355
1739716779.9682915,153,2.2731409072875977
1739716779.9722922,154,2.201340913772583
1739716779.9753332,154,2.126786947250366
1739716779.9793334,155,2.3601810932159424
1739716779.9838436,156,2.267935037612915
1739716779.9868517,156,2.1055541038513184
1739716779.9979925,158,2.4823949337005615
1739716780.0050414,159,2.607573986053467
1739716780.007042,160,2.222012996673584
1739716780.0121613,160,2.2464230060577393
1739716780.0182407,161,2.0386850833892822
1739716780.02024,162,2.3616058826446533
1739716780.0232708,162,2.1161890029907227
1739716780.02427,162,2.048130989074707
1739716780.0468974,166,2.122015953063965
1739716780.0559666,167,2.4310200214385986
1739716780.0609674,168,2.2494940757751465
1739716780.0630245,168,2.1474568843841553
1739716780.0741494,170,2.1128220558166504
1739716780.0811534,171,1.9748460054397583
1739716780.0821533,172,2.2242860794067383
1739716780.0922995,173,2.081362009048462
1739716780.0943675,173,2.1404500007629395
1739716780.0978787,174,2.2234959602355957
1739716780.1070473,176,2.2895009517669678
1739716780.110556,176,2.0378611087799072
1739716780.1250777,178,1.9929510354995728
1739716780.1325886,179,2.1667490005493164
1739716780.1335907,180,2.0505270957946777
1739716780.135095,180,2.094054937362671
1739716780.137104,180,2.1259748935699463
1739716780.141101,180,1.9033149480819702
1739716780.1431854,181,1.9237509965896606
1739716780.1471863,181,2.017971992492676
1739716780.1551988,183,2.2890870571136475
1739716780.175193,185,2.1329801082611084
1739716780.1771932,186,2.0864810943603516
1739716780.1811924,186,2.0806660652160645
1739716780.1862621,187,2.139662027359009
1739716780.1989217,189,1.9323140382766724
1739716780.1999204,189,1.8761529922485352
1739716780.2009199,189,1.9586889743804932
1739716780.2051575,190,1.850411057472229
1739716780.209182,191,1.8671389818191528
1739716780.2111826,191,2.1329989433288574
1739716780.2222228,193,1.8771519660949707
1739716780.2248366,193,2.0696749687194824
1739716780.2248366,193,1.845911979675293
1739716780.2268443,194,2.0028939247131348
1739716780.2278414,194,2.067725896835327
1739716780.2339835,195,2.1066629886627197
1739716780.2359836,195,2.058218002319336
1739716780.238984,196,2.0383529663085938
1739716780.249099,197,2.1248250007629395
1739716780.2542515,198,2.4848780632019043
1739716780.2572527,199,2.22475004196167
1739716780.2602513,199,2.0376250743865967
1739716780.2612512,199,1.9709949493408203
1739716780.2678354,200,2.339988946914673
1739716780.2831666,203,1.8794310092926025
1739716780.288168,204,1.8512489795684814
1739716780.3059077,207,1.9878449440002441
1739716780.3069072,207,1.83536696434021
1739716780.3069072,207,1.8632489442825317
1739716780.330046,211,1.8015799522399902
1739716780.3342345,211,1.7549259662628174
1739716780.3392348,212,1.9399160146713257
1739716780.3412356,212,1.9618109464645386
1739716780.343342,213,1.843904972076416
1739716780.3568714,215,1.8050340414047241
1739716780.3578715,215,1.9671469926834106
1739716780.3629513,216,1.9100409746170044
1739716780.3639529,216,1.9242229461669922
1739716780.3669505,216,1.8731160163879395
1739716780.374086,218,1.931399941444397
1739716780.3780828,218,1.8583990335464478
1739716780.383229,219,1.9986129999160767
1739716780.3912284,220,1.820739984512329
1739716780.393739,220,1.828766942024231
1739716780.393739,221,2.061656951904297
1739716780.4082685,223,2.1196670532226562
1739716780.4209611,225,1.7671339511871338
1739716780.4239922,225,2.0306339263916016
1739716780.4331765,227,1.6123579740524292
1739716780.4371772,227,1.885221004486084
1739716780.451286,229,1.8634790182113647
1739716780.463339,231,2.3239519596099854
1739716780.4678473,232,2.1740550994873047
1739716780.4708471,232,1.9421449899673462
1739716780.4789371,234,1.9128669500350952
1739716780.483054,234,1.7064449787139893
1739716780.4910553,235,1.8859299421310425
1739716780.4990962,237,1.7201659679412842
1739716780.500097,237,1.8227640390396118
1739716780.5093172,238,1.9053339958190918
1739716780.531906,241,1.8374439477920532
1739716780.533181,241,1.8481899499893188
1739716780.5341835,241,1.9626330137252808
