Wall time,Step,Value
1739716778.7690108,2,0.7739409804344177
1739716778.7893348,4,0.8359379768371582
1739716778.7913496,4,0.8532829880714417
1739716778.7994123,5,0.8608859777450562
1739716778.8089652,7,0.8732640147209167
1739716778.8109803,7,0.880952000617981
1739716778.8235583,9,0.8814039826393127
1739716778.8690379,14,0.8913649916648865
1739716778.8700361,14,0.8942400217056274
1739716778.8772583,15,0.9020259976387024
1739716778.8873708,16,0.8947830200195312
1739716778.916425,20,0.9078720211982727
1739716778.9194226,21,0.904308021068573
1739716778.9320147,23,0.9098770022392273
1739716778.9350898,23,0.9117100238800049
1739716778.940089,24,0.9090710282325745
1739716778.9431152,24,0.9180619716644287
1739716778.965386,27,0.9084050059318542
1739716778.966387,27,0.9114580154418945
1739716778.9713864,28,0.9123380184173584
1739716778.9840965,30,0.9222689867019653
1739716778.9890997,30,0.9171940088272095
1739716779.0023131,32,0.92119300365448
1739716779.0403059,37,0.9286140203475952
1739716779.0403059,37,0.9269019961357117
1739716779.0530832,39,0.9323850274085999
1739716779.0550883,39,0.9225720167160034
1739716779.0642192,40,0.926846981048584
1739716779.065219,40,0.9230759739875793
1739716779.066219,41,0.924036979675293
1739716779.0733805,41,0.925324022769928
1739716779.0850987,43,0.9257010221481323
1739716779.0996075,45,0.9287279844284058
1739716779.1133807,47,0.9301549792289734
1739716779.1299236,49,0.9333570003509521
1739716779.1419818,50,0.9389070272445679
1739716779.1471,51,0.9293500185012817
1739716779.1471,51,0.9328259825706482
1739716779.1713457,54,0.9306470155715942
1739716779.1809452,55,0.9313380122184753
1739716779.1879973,56,0.9352210164070129
1739716779.1890054,56,0.9306010007858276
1739716779.189998,56,0.9346230030059814
1739716779.1919818,56,0.9289600253105164
1739716779.1943424,57,0.927981972694397
1739716779.202896,58,0.9318950176239014
1739716779.2109861,58,0.9412580132484436
1739716779.2501001,62,0.9332280158996582
1739716779.257922,63,0.9392359852790833
1739716779.2690864,64,0.943979024887085
1739716779.285201,65,0.9443119764328003
1739716779.2882073,66,0.9401999711990356
1739716779.2943938,67,0.9365569949150085
1739716779.2979093,67,0.9429200291633606
1739716779.2989087,67,0.9340900182723999
1739716779.307931,68,0.9446840286254883
1739716779.3084388,68,0.9402279853820801
